PLUGIN_ARG_ID,THREAD_ID,BLANK
"org.cougaar.mlm.plugin.generic.GenericTablePlugin|IOC_allocation_rules.xml|0","BASE",
"org.cougaar.mlm.plugin.generic.GenericTablePlugin|default_allocation_rules.xml|0","BASE",
"org.cougaar.mlm.plugin.generic.GenericTablePlugin|trans_router.xml|0","BASE",
"org.cougaar.mlm.plugin.generic.PropagationPlugin|forward.xml|0","BASE",
"org.cougaar.mlm.plugin.generic.UniversalExpanderPlugin|Build_Short_Runway|0","CLASS-4",
"org.cougaar.mlm.plugin.generic.UniversalExpanderPlugin|Build_Small_Tent_City|0","CLASS-4",
"org.cougaar.mlm.plugin.generic.UniversalExpanderPlugin|Expand_Runway_Apron|0","CLASS-4",
"org.cougaar.mlm.plugin.ldm.LDMSQLPlugin|fdm_equip.q|0","BASE",
"org.cougaar.logistics.plugin.policy.LogisticsPolicyManagerPlugin|POLICY=ArmyFeedingPolicy.ldm.xml|0","BASE",
"org.cougaar.logistics.plugin.policy.LogisticsPolicyManagerPlugin|DESTINATION=Subordinate|1","BASE",
"org.cougaar.logistics.plugin.policy.LogisticsPolicyManagerPlugin|POLICY=LimitResourcesPolicy.ldm.xml|2","BASE",
"org.cougaar.logistics.plugin.policy.LogisticsPolicyManagerPlugin|DESTINATION=Subordinate|3","BASE",
"org.cougaar.logistics.plugin.policy.LogisticsPolicyManagerPlugin|POLICY=InventoryPolicy-ARBN.ldm.xml|0","BASE",
"org.cougaar.logistics.plugin.policy.LogisticsPolicyManagerPlugin|POLICY=InventoryPolicy-CORPS-ENGBN.ldm.xml|0","BASE",
"org.cougaar.logistics.plugin.policy.LogisticsPolicyManagerPlugin|POLICY=InventoryPolicy-CORPS-MAINTCO.ldm.xml|0","BASE",
"org.cougaar.logistics.plugin.policy.LogisticsPolicyManagerPlugin|POLICY=InventoryPolicy-CORPS-ORD-MGR.ldm.xml|0","BASE",
"org.cougaar.logistics.plugin.policy.LogisticsPolicyManagerPlugin|POLICY=InventoryPolicy-CORPS-POL-SUPPLYCO.ldm.xml|0","BASE",
"org.cougaar.logistics.plugin.policy.LogisticsPolicyManagerPlugin|POLICY=InventoryPolicy-CORPS-RPRPTCO.ldm.xml|0","BASE",
"org.cougaar.logistics.plugin.policy.LogisticsPolicyManagerPlugin|POLICY=InventoryPolicy-CORPS-SSCO.ldm.xml|0","BASE",
"org.cougaar.logistics.plugin.policy.LogisticsPolicyManagerPlugin|POLICY=InventoryPolicy-CORPS-SUPPLYCO.ldm.xml|0","BASE",
"org.cougaar.logistics.plugin.policy.LogisticsPolicyManagerPlugin|POLICY=InventoryPolicy-ENGBN.ldm.xml|0","BASE",
"org.cougaar.logistics.plugin.policy.LogisticsPolicyManagerPlugin|POLICY=InventoryPolicy-FABN.ldm.xml|0","BASE",
"org.cougaar.logistics.plugin.policy.LogisticsPolicyManagerPlugin|POLICY=InventoryPolicy-FSB.ldm.xml|0","BASE",
"org.cougaar.logistics.plugin.policy.LogisticsPolicyManagerPlugin|POLICY=InventoryPolicy-INFBN.ldm.xml|0","BASE",
"org.cougaar.logistics.plugin.policy.LogisticsPolicyManagerPlugin|POLICY=InventoryPolicy-MSB.ldm.xml|0","BASE",
"org.cougaar.logistics.plugin.policy.LogisticsPolicyManagerPlugin|POLICY=InventoryPolicy-THEATER-ORD-MGR.ldm.xml|0","BASE",
"org.cougaar.logistics.plugin.policy.LogisticsPolicyManagerPlugin|POLICY=InventoryPolicy-THEATER-PERISHABLE-SUPPLYCO.ldm.xml|0","BASE",
"org.cougaar.logistics.plugin.policy.LogisticsPolicyManagerPlugin|POLICY=InventoryPolicy-THEATER-POL-SUPPLYCO.ldm.xml|0","BASE",
"org.cougaar.logistics.plugin.policy.LogisticsPolicyManagerPlugin|POLICY=InventoryPolicy-THEATER-SSCO.ldm.xml|0","BASE",
"org.cougaar.logistics.plugin.policy.LogisticsPolicyManagerPlugin|POLICY=InventoryPolicy-THEATER-SUPPLYCO.ldm.xml|0","BASE",
"org.cougaar.logistics.plugin.policy.LogisticsPolicyManagerPlugin|DESTINATION=none|1","BASE",
"org.cougaar.mlm.plugin.organization.GLSExpanderPlugin|Ammunition|0","CLASS-5",
"org.cougaar.mlm.plugin.organization.GLSExpanderPlugin|BulkPOL|0","CLASS-3",
"org.cougaar.mlm.plugin.organization.GLSExpanderPlugin|Subsistence|0","CLASS-1",
"org.cougaar.mlm.plugin.organization.GLSExpanderPlugin|Construction|0","CLASS-4",
"org.cougaar.mlm.plugin.organization.GLSExpanderPlugin|Consumable|0","CLASS-9",
"org.cougaar.mlm.plugin.organization.GLSExpanderPlugin|MaintainInventory|0","BASE",
"org.cougaar.mlm.plugin.organization.GLSExpanderPlugin|PackagedPOL|0","CLASS-3",
"org.cougaar.mlm.plugin.organization.GLSExpanderPlugin|StrategicTransportation|0","STRATEGIC-TRANS",
"org.cougaar.mlm.plugin.organization.GLSInitServlet|093FF.oplan.q|0","BASE",
"org.cougaar.mlm.plugin.sample.StrategicTransportProjectorPlugin|OriginFile=GEOLOC-PLDR.xml|0","STRATEGIC-TRANS",
"org.cougaar.mlm.plugin.sample.StrategicTransportProjectorPlugin|OriginFile=None|0","STRATEGIC-TRANS",
"org.cougaar.mlm.plugin.sample.UniversalAllocatorPlugin|ProjectSupply|0","BASE",
"org.cougaar.mlm.plugin.sample.UniversalAllocatorPlugin|Supply|0","BASE",
"org.cougaar.mlm.plugin.sample.UniversalAllocatorPlugin|Transport|0","BASE",
