dodic, nomenclature, weight, ccc
D501,155MM HE ADAM,110.75,MBB
D502,155MM HE ADAM,110.75,MBB
D505,155MM ILLUM,99.63,MBB
D510,155MM COPPERHEAD,226.33,MBB
D514,155MM RAAMS-S,110.25,MBB
D515,155MM RAAMS-L,110.25,MBB
D528,155MM SMOKE WP,109.38,MBB
D563,155 HE ICM M483,109.25,MBB
D579,155 HE RAP M549A1,101.88,MBB
D864,155MM BASEBRN,108.75,MBB
G826,GRENADE: SMOKE IR M76,5.93,MBB
B504,40MM GREEN STAR PARA,1.1,MBB
B505,40MM RED STAR PARA M6,1.1,MBB
B506,40MM RED SMOKE M713,1.1,MBB
B508,40MM GREEN SMOKE M715,1.08,MBB
B509,40MM YELLOW SMOKE M71,1.1,MBB
B535,40MM WHITE STAR PARA,1.08,MBB
B536,40MM WHITE STAR CLUST,1.11,MBB
B546,40MM HEDP M433,0.77,MBB
B567,40MM CS M651,1.14,MBB
ERM1,MLRS EXTENDED RANGE M,5094,MBB
H104,MLRS DPICM M26,5094,MBB
H117,MLRS ATACMS BLOCK I ,5094,MBB
MBAT,MLRS ATACMS BLOCK II,5094,MBB
H110,RKT: 66MM INCENDIARY,36.75,MBB
PA49,GM INTERCEPT AERIAL M,3750,MBB
M913,DEMO KIT MICLIC),3000,MBB
C276,81MM SMK WP M375 W/PD,18.25,MBB
C868,81MM IUK HE M821 W/M7,19.98,MBB
C871,81MM ILLUM M853 W/M77,20.64,MBB
A064,5.56MM 4 BALL-1 TR LI,0.06,MBB
B642,60MM HE M270,7.35,MBB
B646,60MM SMK,7.23,MBB
B647,60MM ILLUM,7.1,MBB
B642,60MM HE M720,7.35,MBB
B646,60MM SMOKE M722,7.23,MBB
B647,60MM ILLUM M721,7.1,MBB
C226,81MM ILL M301A3,20.64,MBB
C256,81MM HE M374A2,19.98,MBB
C699,4.2 IN HE M329A2,51.6,MBB
C706,4.2 IN ILLUM M335,51.6,MBB
C708,4.2 IN SMK WP M328,51.6,MBB
N464,FZ PROX M732,3.16,MBB
C379,120MM HE M934 W/MO FZ,51.6,MBB
C624,120MM SMK WP XM929 W/,51.6,MBB
C625,120MM ILLUM XM930,51.6,MBB
B542,CTG 40MM HEDP M430,1.34,MBB
A409,CTG CAL .38 SPEC,0.04,MBB
A475,CTG CAL .45 BALL,0.05,MBB
A363,CTG 9MM BALL,0.04,MBB
A400,CTG CAL .38 M41,0.04,MBB
A059,CTG 5.56MM BALL M193,0.03,MBB
A063,CTG 5.56MM TRCR M196,0.04,MBB
A136,CTG 7.62MM,0.08,MBB
A055,CTG .410 GA NO. 6,0.17,MBB
A059,CTG 5.56MM BALL M855,0.03,MBB
A063,CTG 5.56MM TRCR M856,0.04,MBB
A072,CTG 5.56MM TRCR M196,0.04,MBB
PJ04,STINGER: FIM-92C,83.22,MBB
C380,120MM APFSDS-T M829A1,74.7,MBB
C787,120MM HEAT-MP-T M830,81.1,MBB
C508,CTG 105MM HEAT-T,81.1,MBB
C524,CTG 105MM APFSDS-T,74.7,MBB
A011,12 GAGE SHOTGUN #00 B,0.17,MBB
A475,.45 CAL BALL M1911,0.05,MBB
PM80,DRAGON II,72.7,MBB
Z503,JAVELIN: AT,72.7,MBB
LGBW,LONGBOW,184.56,MBB
PL90,STINGER MISSILE,83.22,MBB
C546,105MM HE M1 W/O FUZE,68.5,MBB
PA75,GM INTERCEPT-AERIAL M,3351,MBB
PC07,GM INTERCEPT-AERIAL M,3351,MBB
PC08,GM INTERCEPT-AERIAL M,3351,MBB
PC09,GM INTERCEPT-AERIAL,3351,MBB
PV79,GM INTERCEPT-AERIAL,3351,MBB
